year,month, schiller-sp500 , schiller-cpi ,^GSPC,GC=F
1886,5,5.02,7.61,,
1886,6,5.25,7.52,,
1886,7,5.33,7.61,,
1886,8,5.37,7.71,,
1886,9,5.51,7.71,,
1886,10,5.65,7.71,,
1886,11,5.79,7.71,,
1886,12,5.64,7.8,,
1887,1,5.58,7.99,,
1887,2,5.54,8.09,,
1887,3,5.67,8.09,,
1887,4,5.8,8.09,,
1887,5,5.9,8.09,,
1887,6,5.73,7.99,,
1887,7,5.59,7.9,,
1887,8,5.45,7.99,,
1887,9,5.38,7.9,,
1887,10,5.2,7.99,,
1887,11,5.3,8.09,,
1887,12,5.27,8.28,,
1888,1,5.31,8.37,,
1888,2,5.28,8.28,,
1888,3,5.08,8.28,,
1888,4,5.1,8.18,,
1888,5,5.17,8.09,,
1888,6,5.01,7.99,,
1888,7,5.14,8.09,,
1888,8,5.25,8.09,,
1888,9,5.38,8.09,,
1888,10,5.35,8.18,,
1888,11,5.24,8.28,,
1888,12,5.14,8.28,,
1889,1,5.24,7.99,,
1889,2,5.3,7.9,,
1889,3,5.19,7.8,,
1889,4,5.18,7.8,,
1889,5,5.32,7.61,,
1889,6,5.41,7.61,,
1889,7,5.3,7.61,,
1889,8,5.37,7.61,,
1889,9,5.5,7.71,,
1889,10,5.4,7.71,,
1889,11,5.35,7.71,,
1889,12,5.32,7.8,,
1890,1,5.38,7.61,,
1890,2,5.32,7.61,,
1890,3,5.28,7.61,,
1890,4,5.39,7.61,,
1890,5,5.62,7.71,,
1890,6,5.58,7.71,,
1890,7,5.54,7.71,,
1890,8,5.41,7.99,,
1890,9,5.32,8.09,,
1890,10,5.08,8.09,,
1890,11,4.71,7.9,,
1890,12,4.6,7.9,,
1891,1,4.84,7.8,,
1891,2,4.9,7.9,,
1891,3,4.81,7.99,,
1891,4,4.97,8.09,,
1891,5,4.95,7.99,,
1891,6,4.85,7.8,,
1891,7,4.77,7.71,,
1891,8,4.93,7.71,,
1891,9,5.33,7.61,,
1891,10,5.33,7.61,,
1891,11,5.25,7.52,,
1891,12,5.41,7.52,,
1892,1,5.51,7.33,,
1892,2,5.52,7.33,,
1892,3,5.58,7.14,,
1892,4,5.57,7.04,,
1892,5,5.57,7.04,,
1892,6,5.54,7.04,,
1892,7,5.54,7.23,,
1892,8,5.62,7.33,,
1892,9,5.48,7.33,,
1892,10,5.59,7.33,,
1892,11,5.57,7.52,,
1892,12,5.51,7.61,,
1893,1,5.61,7.9,,
1893,2,5.51,7.99,,
1893,3,5.31,7.8,,
1893,4,5.31,7.71,,
1893,5,4.84,7.61,,
1893,6,4.61,7.42,,
1893,7,4.18,7.23,,
1893,8,4.08,6.95,,
1893,9,4.37,7.23,,
1893,10,4.5,7.33,,
1893,11,4.57,7.14,,
1893,12,4.41,7.04,,
1894,1,4.32,6.85,,
1894,2,4.38,6.76,,
1894,3,4.51,6.57,,
1894,4,4.57,6.57,,
1894,5,4.4,6.57,,
1894,6,4.34,6.57,,
1894,7,4.25,6.57,,
1894,8,4.41,6.76,,
1894,9,4.48,6.85,,
1894,10,4.34,6.66,,
1894,11,4.34,6.66,,
1894,12,4.3,6.57,,
1895,1,4.25,6.57,,
1895,2,4.19,6.57,,
1895,3,4.19,6.57,,
1895,4,4.37,6.85,,
1895,5,4.61,6.95,,
1895,6,4.7,7.04,,
1895,7,4.72,6.95,,
1895,8,4.79,6.85,,
1895,9,4.82,6.85,,
1895,10,4.75,6.85,,
1895,11,4.59,6.85,,
1895,12,4.32,6.76,,
1896,1,4.27,6.66,,
1896,2,4.45,6.57,,
1896,3,4.38,6.57,,
1896,4,4.42,6.47,,
1896,5,4.4,6.37,,
1896,6,4.32,6.28,,
1896,7,4.04,6.28,,
1896,8,3.81,6.28,,
1896,9,4.01,6.28,,
1896,10,4.1,6.47,,
1896,11,4.38,6.66,,
1896,12,4.22,6.66,,
1897,1,4.22,6.47,,
1897,2,4.18,6.47,,
1897,3,4.19,6.47,,
1897,4,4.06,6.37,,
1897,5,4.08,6.28,,
1897,6,4.27,6.28,,
1897,7,4.46,6.28,,
1897,8,4.75,6.57,,
1897,9,4.98,6.76,,
1897,10,4.82,6.66,,
1897,11,4.65,6.66,,
1897,12,4.75,6.66,,
1898,1,4.88,6.66,,
1898,2,4.87,6.76,,
1898,3,4.65,6.76,,
1898,4,4.57,6.76,,
1898,5,4.87,7.23,,
1898,6,5.06,6.76,,
1898,7,5.08,6.66,,
1898,8,5.27,6.66,,
1898,9,5.26,6.66,,
1898,10,5.15,6.66,,
1898,11,5.32,6.66,,
1898,12,5.65,6.76,,
1899,1,6.08,6.76,,
1899,2,6.31,6.95,,
1899,3,6.4,6.95,,
1899,4,6.48,7.04,,
1899,5,6.21,7.04,,
1899,6,6.07,7.14,,
1899,7,6.28,7.23,,
1899,8,6.44,7.33,,
1899,9,6.37,7.61,,
1899,10,6.34,7.71,,
1899,11,6.46,7.8,,
1899,12,6.02,7.9,,
1900,1,6.1,7.9,,
1900,2,6.21,7.99,,
1900,3,6.26,7.99,,
1900,4,6.34,7.99,,
1900,5,6.04,7.8,,
1900,6,5.86,7.71,,
1900,7,5.86,7.8,,
1900,8,5.94,7.71,,
1900,9,5.8,7.8,,
1900,10,6.01,7.71,,
1900,11,6.48,7.71,,
1900,12,6.87,7.61,,
1901,1,7.07,7.71,,
1901,2,7.25,7.61,,
1901,3,7.51,7.61,,
1901,4,8.14,7.52,,
1901,5,7.73,7.52,,
1901,6,8.5,7.52,,
1901,7,7.93,7.61,,
1901,8,8.04,7.71,,
1901,9,8.0,7.8,,
1901,10,7.91,7.8,,
1901,11,8.08,7.9,,
1901,12,7.95,7.99,,
1902,1,8.12,7.9,,
1902,2,8.19,7.9,,
1902,3,8.2,7.9,,
1902,4,8.48,7.99,,
1902,5,8.46,8.09,,
1902,6,8.41,8.18,,
1902,7,8.6,8.18,,
1902,8,8.83,8.09,,
1902,9,8.85,8.18,,
1902,10,8.57,8.75,,
1902,11,8.24,8.47,,
1902,12,8.05,8.56,,
1903,1,8.46,8.66,,
1903,2,8.41,8.66,,
1903,3,8.08,8.37,,
1903,4,7.75,8.37,,
1903,5,7.6,8.18,,
